dining_location,menu_name,menu_url,menu_instructions,source_url
Andrews Commons,Daily menus,https://menus.dining.brown.edu/,Open the menu site and select Andrews Commons,https://menus.dining.brown.edu/
Blue Room,Daily menus,https://menus.dining.brown.edu/,Open the menu site and select Blue Room,https://menus.dining.brown.edu/
Ivy Room,Daily menus,https://menus.dining.brown.edu/,Open the menu site and select Ivy Room,https://menus.dining.brown.edu/
Josiah's,Daily menus,https://menus.dining.brown.edu/,Open the menu site and select Josiah's,https://menus.dining.brown.edu/
School of Engineering,Daily menus,https://menus.dining.brown.edu/,Open the menu site and select School of Engineering,https://menus.dining.brown.edu/
Sharpe Refectory,Daily menus,https://menus.dining.brown.edu/,Open the menu site and select Sharpe Refectory,https://menus.dining.brown.edu/
Verney-Woolley,Daily menus,https://menus.dining.brown.edu/,Open the menu site and select Verney-Woolley,https://menus.dining.brown.edu/
All dining locations,Find Menu Items,https://menus.dining.brown.edu/search,Search menu items across Brown Dining.,https://menus.dining.brown.edu/
Brown Faculty Club,Luncheon à La Carte,https://facultyclub.brown.edu/menus/luncheon-la-carte,,https://facultyclub.brown.edu/menus
Brown Faculty Club,Private Event Menus,https://facultyclub.brown.edu/menus/private-event-menus,,https://facultyclub.brown.edu/menus
