content_id,name,email,phone,address,map_url,directory_entry_url,directory_source_url
unit_site_14356,Academic Calendar,Registrar@brown.edu,401-863-2500,"69 Brown Street | Providence , RI 02912 | Page-Robinson Hall, 3rd floor",https://www.google.com/maps/dir/?api=1&destination=69%20Brown%20Street%20Providence%20RI%2002912,https://www.brown.edu/a-z/academic-calendar,https://www.brown.edu/a-z
unit_site_14371,Accounts Payable Office,,,"South Street Landing | Providence , RI 02903 | 350 Eddy Street, 4th Floor",https://www.google.com/maps/dir/?api=1&destination=South%20Street%20Landing%20Providence%20RI%2002903,https://www.brown.edu/a-z/accounts-payable-office,https://www.brown.edu/a-z
unit_site_14376,Administrative Policies,administrative_policy@brown.edu,,,,https://www.brown.edu/a-z/administrative-policies,https://www.brown.edu/a-z
unit_site_14381,Advance Clinical and Translational Research,AdvanceRI@brown.edu,401-863-3679,"233 Richmond Street | Providence , RI 02912",https://www.google.com/maps/dir/?api=1&destination=233%20Richmond%20Street%20Providence%20%20RI%2002912,https://www.brown.edu/a-z/advance-clinical-and-translational-research,https://www.brown.edu/a-z
unit_site_15361,Undergraduate Advising,,,,,https://www.brown.edu/a-z/undergraduate-advising,https://www.brown.edu/a-z
unit_site_26406,Advisory Committee on University Resources Management (ACURM),,,,,https://www.brown.edu/a-z/advisory-committee-university-resources-management-acurm,https://www.brown.edu/a-z
unit_site_31310,Africa Initiative,,401-863-5059,,,https://www.brown.edu/a-z/africa-initiative,https://www.brown.edu/a-z
unit_site_14691,Department of Africana Studies,,401-863-3137,"155 Angell Street | Providence , RI 02912",https://www.google.com/maps/dir/?api=1&destination=155%20Angell%20Street%20Providence%20RI%2002912,https://www.brown.edu/a-z/department-africana-studies,https://www.brown.edu/a-z
unit_site_14441,Brown University AIDS Program,,401-793-8227,"The RISE Building | Providence , RI 02906 | 14 Third Street",https://www.google.com/maps/dir/?api=1&destination=The%20RISE%20Building%20Providence%20%20RI%2002906,https://www.brown.edu/a-z/brown-university-aids-program,https://www.brown.edu/a-z
unit_site_21321,Brown Alumni Association,alumni@brown.edu,401-863-3307,,,https://www.brown.edu/a-z/brown-alumni-association,https://www.brown.edu/a-z
unit_site_14696,Department of American Studies,,401-863-2896,"71 George Street | Providence , RI 02912",https://www.google.com/maps/dir/?api=1&destination=71%20George%20Street%20Providence%20RI%2002912,https://www.brown.edu/a-z/department-american-studies,https://www.brown.edu/a-z
unit_site_31117,Department of Anesthesiology,,,,,https://www.brown.edu/a-z/department-anesthesiology,https://www.brown.edu/a-z
unit_site_21311,Annenberg Institute for School Reform,annenberg@brown.edu,401-863-7990,"164 Angell Street | Providence , RI 02912 | 2nd floor",https://www.google.com/maps/dir/?api=1&destination=164%20Angell%20Street%20Providence%20RI%2002912,https://www.brown.edu/a-z/annenberg-institute-school-reform,https://www.brown.edu/a-z
unit_site_21316,Brown Annual Fund,annual_fund@brown.edu,401-863-3300,,,https://www.brown.edu/a-z/brown-annual-fund,https://www.brown.edu/a-z
unit_site_14701,Department of Anthropology,,401-863-3251,"Giddings House | Providence , RI 02912 | 128 Hope Street",https://www.google.com/maps/dir/?api=1&destination=Giddings%20House%20Providence%20RI%2002912,https://www.brown.edu/a-z/department-anthropology,https://www.brown.edu/a-z
unit_site_26156,Task Force on Anti-Black Racism,,,,,https://www.brown.edu/taskforce-anti-black-racism,https://www.brown.edu/a-z
unit_site_14891,Division of Applied Mathematics,applied-mathematics@brown.edu,401-863-2115,"182 George Street | Providence , RI 02912",https://www.google.com/maps/dir/?api=1&destination=182%20George%20Street%20Providence%20RI%2002912,https://www.brown.edu/a-z/division-applied-mathematics,https://www.brown.edu/a-z
unit_site_16221,ASK: Advising Sidekick,,,,,https://www.brown.edu/a-z/ask-advising-sidekick,https://www.brown.edu/a-z
unit_site_20526,Banner,,,,,https://www.brown.edu/a-z/banner,https://www.brown.edu/a-z
unit_site_21641,Banner for Administrators,,,,,https://www.brown.edu/a-z/banner-administrators,https://www.brown.edu/a-z
unit_site_14706,Department of Behavioral and Social Sciences,BSS-Department@brown.edu,401-863-6578,,,https://www.brown.edu/a-z/department-behavioral-and-social-sciences,https://www.brown.edu/a-z
unit_site_15206,Program in Biology,Medical_School@brown.edu,401-863-3330,"91 Waterman Street | Providence , RI 02912",https://www.google.com/maps/dir/?api=1&destination=91%20Waterman%20Street%20Providence%20RI%2002912,https://www.brown.edu/a-z/program-biology,https://www.brown.edu/a-z
unit_site_14896,Division of Biology & Medicine,,401-863-3330,,,https://www.brown.edu/a-z/division-biology-medicine,https://www.brown.edu/a-z
unit_site_14531,"Institute for Biology, Engineering and Medicine",BME@brown.edu,401-863-6778,"Biomedical Center | Providence , RI 02912 | 171 Meeting Street",https://www.google.com/maps/dir/?api=1&destination=Biomedical%20Center%20Providence%20RI%2002912,https://www.brown.edu/a-z/institute-biology-engineering-and-medicine,https://www.brown.edu/a-z
unit_site_15111,Office of Biomed Communications,office_of_biomed_communications@brown.edu,,,,https://www.brown.edu/a-z/office-biomed-communications,https://www.brown.edu/a-z
unit_site_30677,BioMed Computer Services,,,,,https://www.brown.edu/a-z/biomed-computer-services,https://www.brown.edu/a-z
unit_site_15116,Office of Diversity and Multicultural Affairs,ODMA@brown.edu,401-863-2364,,,https://www.brown.edu/a-z/office-diversity-and-multicultural-affairs,https://www.brown.edu/a-z
unit_site_31769,"Office of BioMed Finance, Planning and Analytics",,,,,https://www.brown.edu/a-z/office-biomed-finance-planning-and-analytics,https://www.brown.edu/a-z
unit_site_31753,BioMed Human Resources,biomed-hr@brown.edu,,"300 Richmond Street | Providence , RI 02912 | Suite 250",https://www.google.com/maps/dir/?api=1&destination=300%20Richmond%20Street%20Providence%20RI%2002912,https://www.brown.edu/a-z/biomed-human-resources,https://www.brown.edu/a-z
unit_site_14711,Department of Biostatistics,,401-863-9831,"121 South Main Street | Providence , RI 02912 | 7th Floor",https://www.google.com/maps/dir/?api=1&destination=121%20South%20Main%20Street%20Providence%20RI%2002912,https://www.brown.edu/a-z/department-biostatistics,https://www.brown.edu/a-z
unit_site_15021,Institute for Brain and Neural Systems,wpb@Brown.edu,401-863-2585,,,https://www.brown.edu/a-z/institute-brain-and-neural-systems,https://www.brown.edu/a-z
unit_site_31253,Brown 2026,,,,,https://www.brown.edu/a-z/brown-2026,https://www.brown.edu/a-z
unit_site_15431,Brown Alumni Magazine,alumni_magazine@brown.edu,401-863-2873,"350 Eddy Street | Providence , RI 02903",https://www.google.com/maps/dir/?api=1&destination=350%20Eddy%20Street%20Providence%20%20RI%2002903,https://www.brown.edu/a-z/brown-alumni-magazine,https://www.brown.edu/a-z
