dataset,exported_file,row_count,coverage,snapshot_utc,source_name,source_url,update_strategy,notes,license_or_terms
Fall 2026 classes and locations,brown_fall_2026_classes_and_locations.csv,5275,All authenticated Fall 2026 CAB sections visible to the logged-in user,2026-07-29T01:42:00Z,Courses @ Brown (CAB),https://cab.brown.edu/,Re-scrape after CAB schedule or room changes,"Contains physical locations, remote/online markers, arranged meetings and publication status.",Brown University site terms apply
Student groups,brown_all_student_groups.csv,457,424 undergraduate + 33 graduate organizations,2026-07-29T13:35:00Z,Student Activities + Graduate Student Council,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups,Refresh each semester,"Public descriptions, contact emails, advisors, funding categories and social links where published.",Brown University site terms apply
Dining menu links,brown_dining_menu_links.csv,10,"Seven Brown Dining locations, cross-location search and Faculty Club menus",2026-07-29T13:35:00Z,Brown Dining + Faculty Club,https://menus.dining.brown.edu/,Links are stable; menu contents remain live on Brown sites,The Dining SPA uses one shared URL; open it and select the named location.,Brown University site terms apply
Brown University news archive,brown_news_archive.csv,3301,3301 official articles from 2016-01-04 through 2026-07-28,2026-07-29T13:35:00Z,Brown University News,https://www.brown.edu/news/all,Daily metadata refresh,"Metadata only: titles, dates, categories, links and image metadata; no article-body copying.",Brown University site terms apply
Brown Daily Herald current feed,brown_daily_herald_news.csv,35,Current 35-item top-stories RSS feed,2026-07-29T13:35:00Z,The Brown Daily Herald,https://www.browndailyherald.com/feed,Poll periodically; retain only metadata and short excerpts,"Feed last built Wed, 29 Jul 2026 09:30:37 -0400.",Publisher copyright applies
Upcoming public events,brown_upcoming_events.csv,1000,"1,000 event instances from 2026-07-29 through 2026-11-03",2026-07-29T13:35:00Z,Brown Events / LiveWhale JSON,https://events.brown.edu/live/json/events,Poll no more frequently than every 10 minutes,"Feed maximum observed was 1,000; fields include public contacts, categories, URLs and coordinates.",Brown University site terms apply
Athletics calendar,brown_athletics_calendar.csv,170,Currently published varsity events in the SIDEARM ICS feed,2026-07-29T13:35:00Z,Brown Bears Athletics,https://brownbears.com/calendar.ashx/calendar.ics,Poll at the feed's two-hour publication interval,"Includes home/away inference, opponent, venue, streaming URL and event URL.",Brown Athletics site terms apply
2026-2027 academic calendar,brown_academic_calendar_2026_2027.csv,110,"Summer 2026, Fall 2026, Winter 2027 and Spring 2027",2026-07-29T13:35:00Z,Brown Registrar,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar,Refresh after Registrar calendar changes,Includes multi-day date ranges and event links.,Brown University site terms apply
Campus A-Z resources,brown_a_to_z_resources.csv,300,All 300 entries in Brown's public A-Z directory,2026-07-29T13:35:00Z,Brown A-Z,https://www.brown.edu/a-z,Monthly refresh,"Includes public phone, decoded public email, address, map and directory links where present.",Brown University site terms apply
Brown Library weekly hours,brown_library_hours.csv,91,13 service/location rows across 2026-07-26 through 2026-08-01,2026-07-29T13:35:00Z,Brown University Library,https://lib.brown.edu/using-library/visiting-library/locations-hours,Refresh weekly or daily; hours are subject to change,Snapshot of the currently displayed seven-day hours table.,Brown University site terms apply
College Hill building centroids,brown_college_hill_buildings.csv,2150,All OSM building ways in the Brown/College Hill bounding box,2026-07-29T13:33:11Z,OpenStreetMap via Overpass API,https://overpass-api.de/,Periodic OSM refresh; retain attribution,325 named buildings; 111 Brown-relevance hints. Not every footprint is Brown-owned.,"OpenStreetMap contributors, ODbL"
Event locations (derived),brown_event_locations.csv,153,"Unique nonblank locations from the 1,000-event LiveWhale snapshot",2026-07-29T13:35:00Z,Derived from Brown Events / LiveWhale JSON,https://events.brown.edu/live/json/events,Rebuild with each event refresh,"Aggregates event count, observed coordinates, date range and organizers.",Brown University site terms apply
Brown campus map (live source),,0,Interactive ArcGIS campus map; source catalog entry only,2026-07-29T13:35:00Z,Brown University Campus Map,https://experience.arcgis.com/experience/dc278deab79e4fcaa875a81a1732e13e,Evaluate ArcGIS service endpoints for a future gazetteer refresh,Linked for future ingestion; not duplicated in this snapshot.,Brown University / Esri terms apply
Campus shuttle (live source),,0,Live vehicle and route source; source catalog entry only,2026-07-29T13:35:00Z,Brown Shuttle / Passio GO,https://brownuniversity.passiogo.com/,Use as a live feed rather than a static snapshot,High-churn positions were intentionally not frozen into the CSV pack.,Passio GO and Brown Transportation terms apply
Emergency information (live source),,0,Current emergency-information page; source catalog entry only,2026-07-29T13:35:00Z,Brown Emergency Information,https://www.brown.edu/emergency,Link live; do not cache for safety-critical display,Always show the live official page rather than a stale snapshot.,Brown University site terms apply
