group_type,name,description,contact_emails,advisor,funding_category,tags,website_url,instagram_url,facebook_url,linkedin_url,youtube_url,twitter_url,tiktok_url,other_social_urls,source_url,directory_source_url
Undergraduate student group,180 Degrees at Brown University,"180 Degrees Consulting is the world’s largest consultancy for non-profits and social enterprises. At Brown’s chapter, we work specifically with clients in the local Providence area to give back to the people and services in our community. As a part of our club, you’ll be placed in one of the five project teams that work with different Rhode-Island based organizations of various industries every semester as you develop tangible and transferable skills within our tight-knit community.",180degrees@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brown180dc,,,,,,,https://studentactivities.brown.edu/organizations/180-degrees-brown-university,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Abhinaya, Brown","The purpose of Brown Abhinaya shall be to: (1) provide a space for students interested in classical forms of Indian dance [e.g. Bharatanatyam, Kathak, Kuchipudi, Odissi etc.] to practice and prepare dance pieces, (2) share classical dance performances with the Brown community through various organized functions during the year, and (3) participate in interscholastic classical dance competitions.",abhinaya@brown.edu,Jen Lucero,Category 2,UCS Recognized Undergrad Student Groups,,,,,,,,,https://studentactivities.brown.edu/organizations/abhinaya-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Active Minds,"Brown Active Minds is a chapter of the national Active Minds organization dedicated to destigmatizing mental health and building community on campus. We meet weekly, holding a combination of educational, advocacy, and de-stressing/fun meetings. We believe in the power of open conversation and peer support to improve mental health.",activeminds@brown.edu,Cassie Sutten Coats,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownactiveminds,,,,,,,https://studentactivities.brown.edu/organizations/active-minds,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Addiction Medicine Club, Brown","Brown Addiction Medicine Club (BAMC) provides opportunities for Brown University and Providence communities to fight against substance use disorders through de-stigmatization, evidence-based education, overdose response training, and volunteer outreach. BAMC invites all students at Brown, regardless of race, color, religion, sex, age, national or ethnic origin, disability, veteran status, sexual orientation, gender identity, gender expression, or caste.",BAMC@brown.edu,Cassie Sutten Coats,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownaddictionmed,,,,,,,https://studentactivities.brown.edu/organizations/addiction-medicine-club-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,Adventist christian Fellowship (ACF),"Adventist Christian Fellowship (ACF) is a student-led ministry with a goal of establishing a space open to any and all Brown students where they can grow spiritually, intellectually and rationally through the lens of Seventh-day Adventist faith and practice. ACF serves all students on Brown campus interested in scripture, community, holistic living and Sabbath-centered spirituality. The mission of ACF is to nurture Christian believers into disciples of the Gospel of Jesus Christ. Through fellowship, Bible Studies, health and wellness programming, service projects, and mentorship supported by local Adventist churches and alumni, ACF seeks to lead students to accepting Jesus as their personal Savior and Lord, united in His ministry and Church through Grace and Love. ACF is connected to a much broader network of Adventist campus ministries across North America and beyond.",adventist_christian_fellowship@brown.edu,Antwan Bluster,Category 1,UCS Recognized Undergrad Student Groups,,,,,,,,,https://studentactivities.brown.edu/organizations/adventist-christian-fellowship-acf,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Aerial and Acrobatics, Brown","Brown Aerial Acrobatics is a club dedicated to learning, practicing, and performing aerial arts. Our goal is to grow, both mentally and physically, in the practice various aerial techniques under the supervision of student coaches. Our coached apparatuses include aerial hoop (lyra), static trapeze, silks, and aerial rope.",aerial@brown.edu,Jen Lucero,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/brownaerialacrobatics,,,,,,,https://studentactivities.brown.edu/organizations/aerial-and-acrobatics-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Aeronautics Design Initiative, Brown",The Brown Aeronautic Design Initiative (BADI) provides a space for all Brown students to improve their design and manufacturing skills in aerospace applications through the construction of sport RC planes. The Brown Aeronautic Design Initiative is open to all Brown students seeking to improve their design and manufacturing skills in aerospace applications through the construction of RC Sport Planes.,badi@brown.edu,Marisa Fortney,Category 1,UCS Recognized Undergrad Student Groups,,,,,,,,,https://studentactivities.brown.edu/organizations/aeronautics-design-initiative-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,"Afghan Society, Brown (BAS)","Brown Afghan Society (BAS) is open to all Brown students interested in learning about and engaging with Afghan culture. BAS welcomes anyone who wants to participate in dialogue, collaboration, and cultural exchange. Our mission is to raise awareness of the diverse aspects of Afghanistan and its people, and to foster a community of informed, curious, and connected students across campus.",afghansociety@brown.edu,Antwan Bluster,Category 1,UCS Recognized Undergrad Student Groups,,https://instagram.com/Brownafghansociety,,,,,,,https://studentactivities.brown.edu/organizations/afghan-society-brown-bas,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,African Students' Association,"AfriSA aims to unite the African community and those interested in the African continent at Brown University to celebrate diverse identities. AfriSA engages the campus in learning about the diverse cultures, histories, and issues pertaining to the continent through educational, cultural, and social activities. We organize major events like an Annual Spring Culture show, mixers, speaker series, and collaborate with other cultural student groups to hold inclusive social events.",afrisa@brown.edu,Antwan Bluster,Category 2,UCS Recognized Undergrad Student Groups,,https://instagram.com/afrisabrown,,,,,,,https://studentactivities.brown.edu/organizations/african-students-association,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
Undergraduate student group,AGI at Brown,"AGI @ Brown aims to be the source of innovation in the Brown computer science community that sparks students to develop AGI (Artificial General Intelligence). We foster a hands-on, collaborative environment for students of all concentrations to build, train, and deploy cutting-edge AI models. We will also compete in AI competitions such as the ARC prize. Students will also take on leadership roles across technical, strategic, and creative domains to contribute to the development of AGI.",agi@brown.edu,Marisa Fortney,Category 1,UCS Recognized Undergrad Student Groups,,,,,,,,,https://studentactivities.brown.edu/organizations/agi-brown,https://studentactivities.brown.edu/student-groups/undergraduate-student-groups
