academic_term,month,start_date_display,end_date_display,event,event_url,source_url
Summer 2026,March,"Mon, Mar 23",,Registration opens for Summer 2026 for Online and Professional Master’s programs (except Cybersecurity and PRIME) students at 9:00 a.m. EDT.,http://events.brown.edu/academic-calendar/event/328304-registration-opens-for-summer-2026-for-online-and,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,March,"Mon, Mar 30","Thu, Apr 9",Registration for Summer courses for continuing Brown undergraduates and select masters students with summer program courses (including PRIME) opens at 9:00 a.m.EDT on Monday March 30 and continues through Thursday April 9 at 5:00 p.m. EDT,http://events.brown.edu/academic-calendar/event/325371-registration-for-summer-courses-for-continuing,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,April,"Mon, Mar 30","Thu, Apr 9",Registration for Summer courses for continuing Brown undergraduates and select masters students with summer program courses (including PRIME) opens at 9:00 a.m.EDT on Monday March 30 and continues through Thursday April 9 at 5:00 p.m. EDT,http://events.brown.edu/academic-calendar/event/325371-registration-for-summer-courses-for-continuing,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,April,"Tue, Apr 14","Tue, Apr 21",Registration period for fall courses for Brown undergraduates. Summer registration closed during this period.,http://events.brown.edu/academic-calendar/event/325373-registration-period-for-fall-courses-for-brown,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,April,"Wed, Apr 22","Wed, Jun 17",Registration period for Summer courses for Brown undergraduates and select masters students with summer program courses (including PRIME) re-opens at 9:00 a.m.EDT and remains open until Wednesday June 17 at 5:00 p.m. EDT,http://events.brown.edu/academic-calendar/event/325374-registration-period-for-summer-courses-for-brown,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,May,"Wed, Apr 22","Wed, Jun 17",Registration period for Summer courses for Brown undergraduates and select masters students with summer program courses (including PRIME) re-opens at 9:00 a.m.EDT and remains open until Wednesday June 17 at 5:00 p.m. EDT,http://events.brown.edu/academic-calendar/event/325374-registration-period-for-summer-courses-for-brown,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,May,"Mon, May 18",,Classes begin for Summer 2026 for Online and Professional Master’s programs (except Cybersecurity and PRIME) students,http://events.brown.edu/academic-calendar/event/329124-classes-begin-for-summer-2026-for-online-and,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,June,"Wed, Apr 22","Wed, Jun 17",Registration period for Summer courses for Brown undergraduates and select masters students with summer program courses (including PRIME) re-opens at 9:00 a.m.EDT and remains open until Wednesday June 17 at 5:00 p.m. EDT,http://events.brown.edu/academic-calendar/event/325374-registration-period-for-summer-courses-for-brown,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,June,"Sun, Jun 14",,Residence halls open.,http://events.brown.edu/academic-calendar/event/325395-residence-halls-open,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,June,"Mon, Jun 15",,Summer Session classes begin.,http://events.brown.edu/academic-calendar/event/325367-summer-session-classes-begin,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,June,"Wed, Jun 17",,"Last day to change courses (5:00 p.m. EDT deadline). (All students MUST be in their registered courses by Wednesday, June 17.)",http://events.brown.edu/academic-calendar/event/325370-last-day-to-change-courses-500-pm-edt-deadline-all,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,June,"Fri, Jun 19",,Juneteenth Holiday. No University exercises.,http://events.brown.edu/academic-calendar/event/311720-juneteenth-holiday-no-university-exercises,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,June,"Mon, Jun 22",,Last day to change grade options (5:00 p.m. EDT deadline).,http://events.brown.edu/academic-calendar/event/325396-last-day-to-change-grade-options-500-pm-edt,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,July,"Fri, Jul 3",,Independence Day holiday (observed). No University exercises.,http://events.brown.edu/academic-calendar/event/311722-independence-day-holiday-observed-no-university-exerc,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,July,"Fri, Jul 24",,Classes end.,http://events.brown.edu/academic-calendar/event/325398-classes-end,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,July,"Fri, Jul 24",,Last Day for MAT and Urban Education summer courses,http://events.brown.edu/academic-calendar/event/335161-last-day-for-mat-and-urban-education-summer,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,July,"Sat, Jul 25","Tue, Jul 28",Reading Period.,http://events.brown.edu/academic-calendar/event/325400-reading-period,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,July,"Tue, Jul 28",,Last day to drop a 7 week Undergraduate course (5:00 p.m. EDT deadline).,http://events.brown.edu/academic-calendar/event/325401-last-day-to-drop-a-7-week-undergraduate-course-500-pm,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,July,"Wed, Jul 29","Fri, Jul 31",Final examination period for 7 week Undergraduate courses.,http://events.brown.edu/academic-calendar/event/325404-final-examination-period-for-7-week-undergraduate-cou,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,July,"Fri, Jul 31",,7 week Undergraduate Summer Session ends.,http://events.brown.edu/academic-calendar/event/325369-7-week-undergraduate-summer-session-ends,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,August,"Sat, Aug 1",,Residence halls close.,http://events.brown.edu/academic-calendar/event/325403-residence-halls-close,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,August,"Fri, Aug 7",,Last Day for PRIME summer courses,http://events.brown.edu/academic-calendar/event/335162-last-day-for-prime-summer-courses,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,August,"Tue, Aug 18",,Last Day for Accelerated MPH summer courses,http://events.brown.edu/academic-calendar/event/335163-last-day-for-accelerated-mph-summer-courses,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
Summer 2026,August,"Fri, Aug 21",,Last Day for MPA summer courses,http://events.brown.edu/academic-calendar/event/335164-last-day-for-mpa-summer-courses,https://registrar.brown.edu/academic-calendar/2026-2027-academic-calendar
